from,to,timestamp,year_column,month_column,day_column,time
1,1,2013-02-12 05:00:00,2013,2,12,20130212
3,1,2013-02-12 05:00:00,2013,2,12,20130212
1545,4,2013-02-12 05:00:00,2013,2,12,20130212
259,4,2013-02-12 05:00:00,2013,2,12,20130212
2315,1,2013-02-12 05:00:00,2013,2,12,20130212
7,4,2013-02-12 05:00:00,2013,2,12,20130212
7574,-10,2013-02-12 05:00:00,2013,2,12,20130212
10,3,2013-02-12 05:00:00,2013,2,12,20130212
15,10,2013-02-12 05:00:00,2013,2,12,20130212
15,-10,2013-02-12 05:00:00,2013,2,12,20130212
7518,-10,2013-02-12 05:00:00,2013,2,12,20130212
5342,-10,2013-02-12 05:00:00,2013,2,12,20130212
30,2,2013-02-12 05:00:00,2013,2,12,20130212
197,3,2013-02-12 05:00:00,2013,2,12,20130212
56,2,2013-02-12 05:00:00,2013,2,12,20130212
1179,1,2013-02-12 05:00:00,2013,2,12,20130212
7574,-10,2013-02-12 05:00:00,2013,2,12,20130212
7548,-10,2013-02-12 05:00:00,2013,2,12,20130212
143,1,2013-02-12 05:00:00,2013,2,12,20130212
1357,1,2013-02-12 05:00:00,2013,2,12,20130212
177,5,2013-02-12 05:00:00,2013,2,12,20130212
288,1,2013-02-12 05:00:00,2013,2,12,20130212
7595,1,2013-02-12 05:00:00,2013,2,12,20130212
7574,-10,2013-02-12 05:00:00,2013,2,12,20130212
