from,to,timestamp,year_column,month_column,day_column,time
1758,1644,2004-09-11 00:02:33,2004,9,11,20040911
847,1488,2004-09-11 00:39:51,2004,9,11,20040911
1,312,2004-09-11 00:42:24,2004,9,11,20040911
561,557,2004-09-11 01:43:41,2004,9,11,20040911
561,342,2004-09-11 01:50:45,2004,9,11,20040911
1756,1833,2004-09-11 02:11:55,2004,9,11,20040911
843,1834,2004-09-11 02:46:03,2004,9,11,20040911
843,1835,2004-09-11 02:52:09,2004,9,11,20040911
1675,1756,2004-09-11 03:19:46,2004,9,11,20040911
810,1792,2004-09-11 03:53:47,2004,9,11,20040911
1042,1624,2004-09-11 05:02:08,2004,9,11,20040911
1042,1675,2004-09-11 05:06:54,2004,9,11,20040911
697,492,2004-09-11 05:11:15,2004,9,11,20040911
1132,847,2004-09-11 05:57:52,2004,9,11,20040911
42,1724,2004-09-11 06:02:00,2004,9,11,20040911
42,27,2004-09-11 06:05:41,2004,9,11,20040911
1644,1758,2004-09-11 06:07:22,2004,9,11,20040911
1644,398,2004-09-11 06:24:15,2004,9,11,20040911
1644,1758,2004-09-11 06:36:17,2004,9,11,20040911
67,1403,2004-09-11 06:41:43,2004,9,11,20040911
398,1644,2004-09-11 06:57:09,2004,9,11,20040911
1434,1312,2004-09-11 06:58:50,2004,9,11,20040911
710,1517,2004-09-11 07:15:28,2004,9,11,20040911
1675,1042,2004-09-11 08:18:58,2004,9,11,20040911
847,1132,2004-09-11 09:34:26,2004,9,11,20040911
456,1132,2004-09-11 15:43:50,2004,9,11,20040911
809,1167,2004-09-11 17:57:54,2004,9,11,20040911
1359,1343,2004-09-11 18:01:07,2004,9,11,20040911
620,27,2004-09-11 19:24:26,2004,9,11,20040911
1713,617,2004-09-11 19:25:48,2004,9,11,20040911
393,1585,2004-09-11 19:30:08,2004,9,11,20040911
1836,1291,2004-09-11 20:22:49,2004,9,11,20040911
1836,1321,2004-09-11 20:30:48,2004,9,11,20040911
1836,1393,2004-09-11 20:35:01,2004,9,11,20040911
1836,375,2004-09-11 20:42:14,2004,9,11,20040911
1836,143,2004-09-11 20:47:07,2004,9,11,20040911
1836,697,2004-09-11 20:57:58,2004,9,11,20040911
1836,398,2004-09-11 21:04:37,2004,9,11,20040911
1836,1340,2004-09-11 21:06:27,2004,9,11,20040911
1836,699,2004-09-11 21:13:03,2004,9,11,20040911
398,1836,2004-09-11 21:15:10,2004,9,11,20040911
398,1836,2004-09-11 21:17:04,2004,9,11,20040911
1629,1756,2004-09-11 21:18:02,2004,9,11,20040911
1836,398,2004-09-11 21:31:34,2004,9,11,20040911
398,1836,2004-09-11 21:39:03,2004,9,11,20040911
1836,398,2004-09-11 21:42:12,2004,9,11,20040911
95,1403,2004-09-11 21:44:43,2004,9,11,20040911
398,1836,2004-09-11 21:44:57,2004,9,11,20040911
1836,398,2004-09-11 21:47:28,2004,9,11,20040911
398,1836,2004-09-11 21:49:26,2004,9,11,20040911
95,1808,2004-09-11 21:52:46,2004,9,11,20040911
95,1624,2004-09-11 21:53:18,2004,9,11,20040911
1624,95,2004-09-11 21:53:54,2004,9,11,20040911
95,1624,2004-09-11 21:54:15,2004,9,11,20040911
1624,95,2004-09-11 21:54:42,2004,9,11,20040911
95,1624,2004-09-11 21:55:24,2004,9,11,20040911
1836,398,2004-09-11 22:06:03,2004,9,11,20040911
1836,1249,2004-09-11 22:24:26,2004,9,11,20040911
95,561,2004-09-11 22:26:43,2004,9,11,20040911
95,1452,2004-09-11 22:37:37,2004,9,11,20040911
681,1837,2004-09-11 23:14:42,2004,9,11,20040911
557,1624,2004-09-11 23:44:06,2004,9,11,20040911
