from,to,timestamp,year_column,month_column,day_column,time
114,770,2004-06-02 00:02:10,2004,6,2,20040602
1211,1377,2004-06-02 00:03:14,2004,6,2,20040602
1393,1365,2004-06-02 00:04:23,2004,6,2,20040602
1393,283,2004-06-02 00:06:15,2004,6,2,20040602
357,1190,2004-06-02 00:06:24,2004,6,2,20040602
439,1449,2004-06-02 00:07:07,2004,6,2,20040602
357,1387,2004-06-02 00:09:14,2004,6,2,20040602
893,68,2004-06-02 00:10:20,2004,6,2,20040602
1539,1452,2004-06-02 00:19:16,2004,6,2,20040602
1364,282,2004-06-02 00:22:19,2004,6,2,20040602
1452,1539,2004-06-02 00:23:23,2004,6,2,20040602
735,1168,2004-06-02 00:25:34,2004,6,2,20040602
124,449,2004-06-02 00:27:05,2004,6,2,20040602
357,449,2004-06-02 00:28:04,2004,6,2,20040602
9,1285,2004-06-02 00:31:31,2004,6,2,20040602
620,1211,2004-06-02 00:32:14,2004,6,2,20040602
283,1393,2004-06-02 00:32:39,2004,6,2,20040602
620,27,2004-06-02 00:33:48,2004,6,2,20040602
908,352,2004-06-02 00:34:34,2004,6,2,20040602
1406,1224,2004-06-02 00:37:07,2004,6,2,20040602
1489,1289,2004-06-02 00:40:08,2004,6,2,20040602
282,1364,2004-06-02 00:42:17,2004,6,2,20040602
67,798,2004-06-02 00:44:53,2004,6,2,20040602
67,908,2004-06-02 00:45:43,2004,6,2,20040602
299,1175,2004-06-02 00:50:34,2004,6,2,20040602
1539,402,2004-06-02 00:50:47,2004,6,2,20040602
552,326,2004-06-02 00:52:01,2004,6,2,20040602
823,285,2004-06-02 01:02:50,2004,6,2,20040602
1463,402,2004-06-02 01:06:47,2004,6,2,20040602
1539,152,2004-06-02 01:07:23,2004,6,2,20040602
592,545,2004-06-02 01:11:53,2004,6,2,20040602
592,377,2004-06-02 01:12:03,2004,6,2,20040602
1539,152,2004-06-02 01:12:16,2004,6,2,20040602
1026,615,2004-06-02 01:13:50,2004,6,2,20040602
615,1026,2004-06-02 01:16:12,2004,6,2,20040602
706,1236,2004-06-02 01:16:22,2004,6,2,20040602
615,1026,2004-06-02 01:33:17,2004,6,2,20040602
376,824,2004-06-02 01:35:48,2004,6,2,20040602
823,1525,2004-06-02 01:44:16,2004,6,2,20040602
1440,1509,2004-06-02 01:53:40,2004,6,2,20040602
1359,1497,2004-06-02 02:06:40,2004,6,2,20040602
326,552,2004-06-02 02:09:42,2004,6,2,20040602
598,1538,2004-06-02 02:10:30,2004,6,2,20040602
1339,173,2004-06-02 02:16:56,2004,6,2,20040602
324,1537,2004-06-02 02:24:06,2004,6,2,20040602
1504,738,2004-06-02 02:33:20,2004,6,2,20040602
1354,42,2004-06-02 02:35:31,2004,6,2,20040602
1540,1440,2004-06-02 02:43:19,2004,6,2,20040602
372,1529,2004-06-02 02:46:38,2004,6,2,20040602
1540,1179,2004-06-02 02:51:22,2004,6,2,20040602
1183,376,2004-06-02 03:02:29,2004,6,2,20040602
1328,1178,2004-06-02 03:03:03,2004,6,2,20040602
1440,1540,2004-06-02 03:04:47,2004,6,2,20040602
114,770,2004-06-02 03:05:47,2004,6,2,20040602
103,1395,2004-06-02 03:09:35,2004,6,2,20040602
1339,1344,2004-06-02 03:09:52,2004,6,2,20040602
333,314,2004-06-02 03:13:53,2004,6,2,20040602
1437,1332,2004-06-02 03:16:31,2004,6,2,20040602
1437,1454,2004-06-02 03:16:57,2004,6,2,20040602
1323,938,2004-06-02 03:27:34,2004,6,2,20040602
1113,1541,2004-06-02 03:28:49,2004,6,2,20040602
1489,1289,2004-06-02 03:30:39,2004,6,2,20040602
483,821,2004-06-02 03:31:00,2004,6,2,20040602
938,1323,2004-06-02 03:31:19,2004,6,2,20040602
103,893,2004-06-02 03:32:27,2004,6,2,20040602
938,1323,2004-06-02 03:32:58,2004,6,2,20040602
883,326,2004-06-02 03:34:40,2004,6,2,20040602
1323,938,2004-06-02 03:35:08,2004,6,2,20040602
938,1323,2004-06-02 03:36:23,2004,6,2,20040602
1033,1281,2004-06-02 03:47:02,2004,6,2,20040602
1033,194,2004-06-02 03:47:19,2004,6,2,20040602
1542,42,2004-06-02 03:50:16,2004,6,2,20040602
193,233,2004-06-02 03:51:26,2004,6,2,20040602
1189,1282,2004-06-02 03:51:39,2004,6,2,20040602
1189,626,2004-06-02 03:51:57,2004,6,2,20040602
1542,1282,2004-06-02 03:53:24,2004,6,2,20040602
41,473,2004-06-02 03:54:01,2004,6,2,20040602
41,642,2004-06-02 03:54:26,2004,6,2,20040602
1136,376,2004-06-02 03:54:27,2004,6,2,20040602
41,1248,2004-06-02 03:55:05,2004,6,2,20040602
41,1542,2004-06-02 03:55:15,2004,6,2,20040602
41,1136,2004-06-02 03:55:20,2004,6,2,20040602
32,1015,2004-06-02 03:58:27,2004,6,2,20040602
32,1543,2004-06-02 04:00:04,2004,6,2,20040602
429,1449,2004-06-02 04:09:46,2004,6,2,20040602
103,429,2004-06-02 04:13:10,2004,6,2,20040602
103,1231,2004-06-02 04:18:19,2004,6,2,20040602
621,1544,2004-06-02 04:18:55,2004,6,2,20040602
103,462,2004-06-02 04:20:37,2004,6,2,20040602
1508,1184,2004-06-02 04:25:51,2004,6,2,20040602
1508,1021,2004-06-02 04:26:42,2004,6,2,20040602
1332,1437,2004-06-02 04:28:06,2004,6,2,20040602
704,1231,2004-06-02 04:29:25,2004,6,2,20040602
1393,283,2004-06-02 04:30:59,2004,6,2,20040602
704,1231,2004-06-02 04:32:32,2004,6,2,20040602
704,1231,2004-06-02 04:34:37,2004,6,2,20040602
193,63,2004-06-02 04:36:23,2004,6,2,20040602
1021,1285,2004-06-02 04:36:28,2004,6,2,20040602
704,1231,2004-06-02 04:36:30,2004,6,2,20040602
1540,1440,2004-06-02 04:37:09,2004,6,2,20040602
63,193,2004-06-02 04:37:30,2004,6,2,20040602
704,297,2004-06-02 04:39:39,2004,6,2,20040602
1332,390,2004-06-02 04:40:43,2004,6,2,20040602
1332,390,2004-06-02 04:40:50,2004,6,2,20040602
1332,390,2004-06-02 04:40:54,2004,6,2,20040602
1342,1335,2004-06-02 04:43:48,2004,6,2,20040602
1433,635,2004-06-02 04:44:00,2004,6,2,20040602
1507,1410,2004-06-02 04:44:24,2004,6,2,20040602
507,1313,2004-06-02 04:44:42,2004,6,2,20040602
376,1183,2004-06-02 04:45:33,2004,6,2,20040602
1545,1332,2004-06-02 04:48:28,2004,6,2,20040602
1332,806,2004-06-02 04:48:51,2004,6,2,20040602
63,923,2004-06-02 04:50:37,2004,6,2,20040602
447,124,2004-06-02 04:52:23,2004,6,2,20040602
1440,1540,2004-06-02 04:58:00,2004,6,2,20040602
1036,299,2004-06-02 05:00:24,2004,6,2,20040602
400,601,2004-06-02 05:00:31,2004,6,2,20040602
1522,220,2004-06-02 05:00:35,2004,6,2,20040602
1545,1332,2004-06-02 05:01:26,2004,6,2,20040602
1545,1332,2004-06-02 05:01:35,2004,6,2,20040602
220,1522,2004-06-02 05:06:30,2004,6,2,20040602
400,474,2004-06-02 05:08:24,2004,6,2,20040602
1540,1440,2004-06-02 05:08:59,2004,6,2,20040602
