from,to,timestamp,year_column,month_column,day_column,time
97,542,2004-05-04 00:00:12,2004,5,4,20040504
542,97,2004-05-04 00:00:45,2004,5,4,20040504
542,97,2004-05-04 00:01:28,2004,5,4,20040504
542,97,2004-05-04 00:02:10,2004,5,4,20040504
62,596,2004-05-04 00:04:08,2004,5,4,20040504
97,542,2004-05-04 00:04:48,2004,5,4,20040504
97,542,2004-05-04 00:05:21,2004,5,4,20040504
325,542,2004-05-04 00:05:23,2004,5,4,20040504
542,97,2004-05-04 00:06:00,2004,5,4,20040504
542,325,2004-05-04 00:06:38,2004,5,4,20040504
97,542,2004-05-04 00:06:52,2004,5,4,20040504
325,542,2004-05-04 00:08:02,2004,5,4,20040504
30,103,2004-05-04 00:10:23,2004,5,4,20040504
325,625,2004-05-04 00:23:54,2004,5,4,20040504
625,325,2004-05-04 00:28:24,2004,5,4,20040504
536,336,2004-05-04 00:29:03,2004,5,4,20040504
474,32,2004-05-04 00:29:38,2004,5,4,20040504
363,454,2004-05-04 00:31:59,2004,5,4,20040504
398,468,2004-05-04 00:34:05,2004,5,4,20040504
325,625,2004-05-04 00:35:21,2004,5,4,20040504
625,325,2004-05-04 00:36:24,2004,5,4,20040504
625,325,2004-05-04 00:37:24,2004,5,4,20040504
193,355,2004-05-04 00:39:27,2004,5,4,20040504
193,389,2004-05-04 00:41:08,2004,5,4,20040504
41,389,2004-05-04 00:43:59,2004,5,4,20040504
625,325,2004-05-04 00:44:55,2004,5,4,20040504
468,502,2004-05-04 00:46:33,2004,5,4,20040504
193,616,2004-05-04 00:51:35,2004,5,4,20040504
325,625,2004-05-04 00:53:49,2004,5,4,20040504
625,325,2004-05-04 00:55:07,2004,5,4,20040504
325,625,2004-05-04 00:57:49,2004,5,4,20040504
625,325,2004-05-04 00:59:17,2004,5,4,20040504
228,593,2004-05-04 00:59:30,2004,5,4,20040504
372,508,2004-05-04 01:05:03,2004,5,4,20040504
372,495,2004-05-04 01:06:51,2004,5,4,20040504
325,625,2004-05-04 01:08:24,2004,5,4,20040504
212,303,2004-05-04 01:11:05,2004,5,4,20040504
212,303,2004-05-04 01:12:35,2004,5,4,20040504
586,386,2004-05-04 01:12:44,2004,5,4,20040504
586,607,2004-05-04 01:15:05,2004,5,4,20040504
323,456,2004-05-04 01:17:34,2004,5,4,20040504
514,626,2004-05-04 01:18:23,2004,5,4,20040504
277,468,2004-05-04 01:18:39,2004,5,4,20040504
555,626,2004-05-04 01:19:24,2004,5,4,20040504
555,627,2004-05-04 01:19:46,2004,5,4,20040504
509,454,2004-05-04 01:19:54,2004,5,4,20040504
555,514,2004-05-04 01:20:34,2004,5,4,20040504
555,514,2004-05-04 01:21:46,2004,5,4,20040504
625,325,2004-05-04 01:22:31,2004,5,4,20040504
372,495,2004-05-04 01:22:50,2004,5,4,20040504
36,625,2004-05-04 01:22:50,2004,5,4,20040504
611,72,2004-05-04 01:25:07,2004,5,4,20040504
593,228,2004-05-04 01:25:34,2004,5,4,20040504
603,628,2004-05-04 01:26:02,2004,5,4,20040504
350,626,2004-05-04 01:26:02,2004,5,4,20040504
325,625,2004-05-04 01:27:07,2004,5,4,20040504
60,62,2004-05-04 01:29:12,2004,5,4,20040504
72,611,2004-05-04 01:29:22,2004,5,4,20040504
629,97,2004-05-04 01:29:23,2004,5,4,20040504
625,325,2004-05-04 01:29:31,2004,5,4,20040504
626,350,2004-05-04 01:29:35,2004,5,4,20040504
625,630,2004-05-04 01:30:26,2004,5,4,20040504
388,514,2004-05-04 01:30:58,2004,5,4,20040504
625,607,2004-05-04 01:31:02,2004,5,4,20040504
95,626,2004-05-04 01:32:39,2004,5,4,20040504
514,388,2004-05-04 01:34:18,2004,5,4,20040504
41,598,2004-05-04 01:34:36,2004,5,4,20040504
350,626,2004-05-04 01:34:42,2004,5,4,20040504
296,302,2004-05-04 01:35:40,2004,5,4,20040504
388,514,2004-05-04 01:37:18,2004,5,4,20040504
36,625,2004-05-04 01:37:31,2004,5,4,20040504
502,468,2004-05-04 01:37:38,2004,5,4,20040504
590,626,2004-05-04 01:40:11,2004,5,4,20040504
36,625,2004-05-04 01:40:39,2004,5,4,20040504
631,625,2004-05-04 01:43:19,2004,5,4,20040504
388,596,2004-05-04 01:48:43,2004,5,4,20040504
388,368,2004-05-04 01:51:07,2004,5,4,20040504
325,625,2004-05-04 01:55:10,2004,5,4,20040504
388,212,2004-05-04 01:55:43,2004,5,4,20040504
555,388,2004-05-04 01:56:19,2004,5,4,20040504
388,513,2004-05-04 01:56:33,2004,5,4,20040504
555,388,2004-05-04 01:57:24,2004,5,4,20040504
368,52,2004-05-04 01:58:06,2004,5,4,20040504
555,388,2004-05-04 01:58:35,2004,5,4,20040504
368,388,2004-05-04 01:59:22,2004,5,4,20040504
626,590,2004-05-04 02:00:07,2004,5,4,20040504
626,632,2004-05-04 02:01:29,2004,5,4,20040504
625,325,2004-05-04 02:01:36,2004,5,4,20040504
62,60,2004-05-04 02:02:13,2004,5,4,20040504
555,570,2004-05-04 02:02:47,2004,5,4,20040504
631,625,2004-05-04 02:05:59,2004,5,4,20040504
555,306,2004-05-04 02:07:09,2004,5,4,20040504
627,513,2004-05-04 02:07:32,2004,5,4,20040504
555,318,2004-05-04 02:07:43,2004,5,4,20040504
631,625,2004-05-04 02:08:07,2004,5,4,20040504
60,62,2004-05-04 02:09:18,2004,5,4,20040504
393,263,2004-05-04 02:12:26,2004,5,4,20040504
631,633,2004-05-04 02:15:09,2004,5,4,20040504
263,393,2004-05-04 02:15:13,2004,5,4,20040504
393,263,2004-05-04 02:16:03,2004,5,4,20040504
631,52,2004-05-04 02:19:44,2004,5,4,20040504
634,626,2004-05-04 02:20:25,2004,5,4,20040504
551,62,2004-05-04 02:21:25,2004,5,4,20040504
514,59,2004-05-04 02:23:36,2004,5,4,20040504
62,60,2004-05-04 02:24:19,2004,5,4,20040504
414,475,2004-05-04 02:27:31,2004,5,4,20040504
590,514,2004-05-04 02:29:44,2004,5,4,20040504
