Filename,tnodeembed-AUC,tnodeembed-F1_micro,tnodeembed-F1_macro,tnodeembed-final_loss,tnodeembed-final_accuracy,node2vec-AUC,node2vec-F1_micro,node2vec-F1_macro,node2vec-final_loss,node2vec-final_accuracy
CollegeMsg.log,0.7025229818841467,0.09177820267686425,0.0026612534352472438,0.26809245347976685,1.0,0.6755492670311083,0.0,0.0,3.80182147026062,0.6875
CollegeMsg_20040415.log,0.7085050744000196,0.0,0.0,4.64700984954834,0.1875,0.6588540619714166,0.0,0.0,4.694239139556885,0.1875
CollegeMsg_20040416.log,0.698086804108548,0.0,0.0,4.645255088806152,0.125,0.6979164317407398,0.0,0.0,4.693809509277344,0.125
CollegeMsg_20040419.log,0.6944772387419411,0.0,0.0,4.6420369148254395,0.125,0.7110619469026549,0.0,0.0,4.692949295043945,0.1875
CollegeMsg_20040420.log,0.7387733189517809,0.0,0.0,4.64171028137207,0.1875,0.7415779055230065,0.0,0.0,4.6933794021606445,0.1875
CollegeMsg_20040421.log,0.4869476993601843,0.0,0.0,4.470987319946289,0.1875,0.5925520309857084,0.0,0.0,4.608746528625488,0.1875
CollegeMsg_20040422.log,0.6948333966611919,0.0,0.0,4.641005992889404,0.1875,0.7134657600568725,0.0,0.0,4.692518711090088,0.1875
CollegeMsg_20040423.log,0.7079426004461549,0.0,0.0,4.496135234832764,0.375,0.7005486848233765,0.0,0.0,4.634390830993652,0.375
CollegeMsg_20040424.log,0.755679957345623,0.0,0.0,4.366912841796875,0.3125,0.7078655038854704,0.0,0.0,4.565694808959961,0.25
CollegeMsg_20040425.log,0.7240749944843479,0.0,0.0,4.3229241371154785,0.5,0.7258348246022602,0.0,0.0,4.434680938720703,0.5
CollegeMsg_20040426.log,0.7421440872208467,0.0,0.0,4.391815185546875,0.25,0.6942586044174246,0.0,0.0,4.560030460357666,0.1875
CollegeMsg_20040427.log,0.7683762532787488,0.0,0.0,4.317224979400635,0.4375,0.7326764395852231,0.0,0.0,4.518478870391846,0.3125
CollegeMsg_20040428.log,0.7312922866668302,0.0,0.0,4.341838836669922,0.3125,0.7208904407618955,0.0,0.0,4.5145673751831055,0.25
CollegeMsg_20040429.log,0.6935597406417767,0.0,0.0,4.253371238708496,0.5625,0.6553040962910304,0.0,0.0,4.415229320526123,0.5625
CollegeMsg_20040430.log,0.6949972728164145,0.005249343832020998,0.0003987240829346092,4.062736988067627,0.6875,0.6679663177505946,0.0,0.0,4.328286647796631,0.5625
CollegeMsg_20040501.log,0.7481587527271836,0.0,0.0,4.153055667877197,0.625,0.6606203270168901,0.0,0.0,4.285898208618164,0.5625
CollegeMsg_20040502.log,0.7343672934081827,0.0,0.0,4.190389633178711,0.4375,0.6437743301546834,0.0,0.0,4.457535743713379,0.375
CollegeMsg_20040503.log,0.7063793420439781,0.0,0.0,4.323159217834473,0.375,0.670096585198441,0.0,0.0,4.5056538581848145,0.375
CollegeMsg_20040504.log,0.6487614909420734,0.0,0.0,3.980782985687256,0.625,0.6464897776579316,0.0,0.0,4.185911178588867,0.4375
CollegeMsg_20040505.log,0.72967874390214,0.0,0.0,3.955230236053467,0.6875,0.6335410180668253,0.0,0.0,4.070917129516602,0.5625
CollegeMsg_20040506.log,0.702514708405854,0.0,0.0,4.127717971801758,0.5625,0.6186072365356801,0.0,0.0,4.4446120262146,0.375
CollegeMsg_20040507.log,0.7048136628833378,0.0,0.0,4.317575454711914,0.3125,0.643487608168068,0.0,0.0,4.4960479736328125,0.3125
CollegeMsg_20040508.log,0.7283201468389184,0.0,0.0,3.9297561645507812,0.5,0.6213254112225136,0.0,0.0,4.219882011413574,0.4375
CollegeMsg_20040509.log,0.6452610435613952,0.0,0.0,4.008746147155762,0.5625,0.5811079413134607,0.0,0.0,4.242969512939453,0.625
CollegeMsg_20040510.log,0.664096781310519,0.0,0.0,3.9789485931396484,0.75,0.6247278332066776,0.0,0.0,4.070345401763916,0.5625
CollegeMsg_20040511.log,0.6326973071360282,0.0,0.0,4.017840385437012,0.5625,0.5954018152624225,0.0,0.0,4.277606964111328,0.375
CollegeMsg_20040512.log,0.7219876878385998,0.0,0.0,4.105356216430664,0.5,0.6183196872012355,0.0,0.0,4.294065475463867,0.4375
CollegeMsg_20040513.log,0.6942562449439855,0.0,0.0,3.8489389419555664,0.6875,0.5864949562424926,0.0,0.0,4.112362384796143,0.5
CollegeMsg_20040514.log,0.7105705942195965,0.0,0.0,3.9028127193450928,0.75,0.6373930269899247,0.0,0.0,4.088423728942871,0.5
CollegeMsg_20040515.log,0.7540327997450543,0.0,0.0,4.092063903808594,0.625,0.6328134116147379,0.0,0.0,4.331377029418945,0.4375
CollegeMsg_20040516.log,0.6815073664599318,0.0,0.0,3.903402328491211,0.6875,0.6050288652464885,0.0,0.0,4.169631004333496,0.4375
CollegeMsg_20040517.log,0.7333345181771382,0.0,0.0,4.039009094238281,0.75,0.6342487681710097,0.0,0.0,4.189748764038086,0.375
CollegeMsg_20040518.log,0.6993413698428652,0.0,0.0,3.9645447731018066,0.625,0.6175246059372932,0.0,0.0,4.239102363586426,0.3125
CollegeMsg_20040519.log,0.7133036305248449,0.0,0.0,3.883888006210327,0.8125,0.6422601304145319,0.0,0.0,3.995006799697876,0.375
CollegeMsg_20040520.log,0.6350715196234648,0.0,0.0,3.8692455291748047,0.8125,0.5890122692618832,0.0,0.0,4.013293266296387,0.6875
CollegeMsg_20040521.log,0.7488965631358322,0.0,0.0,3.9194397926330566,0.75,0.6375763611403917,0.0,0.0,4.066134452819824,0.5
CollegeMsg_20040522.log,0.7537292856617558,0.0,0.0,3.873725414276123,0.8125,0.6532514769690878,0.0,0.0,4.034523963928223,0.4375
CollegeMsg_20040523.log,0.6642583899198392,0.0,0.0,3.8323636054992676,0.625,0.6122005000857991,0.0,0.0,4.144359588623047,0.5625
CollegeMsg_20040524.log,0.7022488233275317,0.0,0.0,3.8471758365631104,0.8125,0.6367962027798887,0.0,0.0,3.994936943054199,0.5
CollegeMsg_20040525.log,0.72629633147844,0.0,0.0,3.6467041969299316,0.875,0.6781210011521585,0.0,0.0,3.8871967792510986,0.5625
CollegeMsg_20040526.log,0.6602647513053711,0.0,0.0,3.8691089153289795,0.6875,0.5745203221140882,0.0,0.0,4.079702854156494,0.5
CollegeMsg_20040527.log,0.6977566923246635,0.0,0.0,3.818880081176758,0.75,0.6093213909249136,0.0,0.0,4.091115951538086,0.5
CollegeMsg_20040528.log,0.7005159586203515,0.0,0.0,3.7785768508911133,0.9375,0.6085318559556786,0.0,0.0,4.080087184906006,0.5
CollegeMsg_20040529.log,0.7317218334027896,0.0,0.0,3.7543182373046875,0.875,0.6549534233814625,0.0,0.0,3.981215476989746,0.4375
CollegeMsg_20040530.log,0.6584479567572868,0.0,0.0,3.7359399795532227,0.8125,0.6570557448581864,0.0,0.0,3.8800995349884033,0.5
CollegeMsg_20040531.log,0.6713929779619052,0.0,0.0,3.783587694168091,0.8125,0.6419431949108917,0.0,0.0,3.854213237762451,0.625
CollegeMsg_20040601.log,0.6998959380285833,0.0,0.0,3.744067430496216,0.875,0.636100495182997,0.0,0.0,3.9417316913604736,0.5
CollegeMsg_20040602.log,0.6892960189248156,0.0,0.0,3.7784624099731445,0.9375,0.6224257531929497,0.0,0.0,4.026548385620117,0.5
CollegeMsg_20040603.log,0.7131654021523302,0.0,0.0,3.732637405395508,0.9375,0.6022915696320447,0.0,0.0,3.8757266998291016,0.625
CollegeMsg_20040604.log,0.603187771186233,0.0,0.0,3.8401572704315186,0.875,0.5639910952859559,0.0,0.0,4.060169219970703,0.4375
CollegeMsg_20040605.log,0.747168877013213,0.0,0.0,3.7452492713928223,0.9375,0.680625781384061,0.0,0.0,3.958850383758545,0.5
CollegeMsg_20040606.log,0.7210348589218738,0.0,0.0,3.823194742202759,0.875,0.5977978758610546,0.0,0.0,3.879761219024658,0.625
CollegeMsg_20040607.log,0.6984218799794082,0.0,0.0,3.7339582443237305,0.9375,0.598822806608977,0.0,0.0,3.846907377243042,0.5625
CollegeMsg_20040608.log,0.7602565697546149,0.0,0.0,3.62272310256958,0.9375,0.6507991873605765,0.0,0.0,3.8882362842559814,0.4375
CollegeMsg_20040609.log,0.7539220883484912,0.0,0.0,3.7094507217407227,0.875,0.6610666045645086,0.0,0.0,4.014010429382324,0.375
CollegeMsg_20040610.log,0.6702512073149804,0.0,0.0,3.6819183826446533,0.9375,0.607244962370995,0.0,0.0,3.8930001258850098,0.5
CollegeMsg_20040611.log,0.684316120412816,0.0,0.0,3.767124652862549,0.75,0.5775078138406098,0.0,0.0,4.019494533538818,0.4375
CollegeMsg_20040612.log,0.7139064606672714,0.0,0.0,3.620769500732422,0.9375,0.6248522418061923,0.0,0.0,3.9464056491851807,0.4375
CollegeMsg_20040613.log,0.6862178560047066,0.0,0.0,3.783167839050293,0.9375,0.6013818853724904,0.0,0.0,4.051484107971191,0.5
CollegeMsg_20040614.log,0.6952531071507366,0.0,0.0,3.66440749168396,0.9375,0.6217653151275954,0.0,0.0,4.09050989151001,0.375
CollegeMsg_20040615.log,0.7423584928786802,0.0,0.0,3.6247479915618896,1.0,0.6807240212781605,0.0,0.0,3.775010585784912,0.4375
CollegeMsg_20040616.log,0.6471254565734318,0.0,0.0,3.753763198852539,1.0,0.6317591253401318,0.0,0.0,3.928708553314209,0.25
CollegeMsg_20040617.log,0.6790421150687618,0.0,0.0,3.8454620838165283,0.9375,0.5953022270977864,0.0,0.0,3.914642333984375,0.8125
CollegeMsg_20040618.log,0.7132871448532836,0.0,0.0,3.623314142227173,0.9375,0.6685898928737773,0.0,0.0,3.6954803466796875,0.625
CollegeMsg_20040619.log,0.7505658139876941,0.0,0.0,3.763331413269043,0.9375,0.650410364523325,0.0,0.0,3.9685869216918945,0.5625
CollegeMsg_20040620.log,0.7302125671071018,0.0,0.0,3.7657015323638916,0.875,0.6501585750006129,0.0,0.0,4.089783191680908,0.375
CollegeMsg_20040621.log,0.7461344470865099,0.0,0.0,3.6473231315612793,0.875,0.6606426347657687,0.0,0.0,3.864469051361084,0.625
CollegeMsg_20040622.log,0.7112306339322922,0.0,0.0,3.786930561065674,0.875,0.601789982349913,0.0,0.0,4.054521083831787,0.375
CollegeMsg_20040623.log,0.7441485671561298,0.0,0.0,3.70204758644104,0.9375,0.6690683144166891,0.0,0.0,3.9639086723327637,0.625
CollegeMsg_20040624.log,0.6920221913073321,0.0,0.0,3.656135320663452,0.9375,0.6192803912435958,0.0,0.0,3.97989559173584,0.5
CollegeMsg_20040625.log,0.6425973512612457,0.0,0.0,3.665158748626709,0.875,0.6095598815973329,0.0,0.0,3.9766969680786133,0.6875
CollegeMsg_20040626.log,0.6639953852376632,0.0,0.0,3.7723278999328613,0.8125,0.5803471490206653,0.0,0.0,4.069370269775391,0.375
CollegeMsg_20040627.log,0.7303348920157869,0.0,0.0,3.61376953125,0.9375,0.6260064839555806,0.0,0.0,4.144872665405273,0.5
CollegeMsg_20040628.log,0.7621804292403109,0.0,0.0,3.6686618328094482,1.0,0.6770137646164783,0.0,0.0,3.795461654663086,0.8125
CollegeMsg_20040629.log,0.6399586632510479,0.0,0.0,3.865584135055542,0.875,0.6011322714681441,0.0,0.0,4.171289443969727,0.5
CollegeMsg_20040630.log,0.6744147586595739,0.0,0.0,3.6041152477264404,1.0,0.6139124053146372,0.0,0.0,3.891049861907959,0.5625
CollegeMsg_20040701.log,0.760009866888927,0.0,0.0,3.707932233810425,0.9375,0.6613175054543672,0.0,0.0,3.973809242248535,0.375
CollegeMsg_20040702.log,0.5851802698992474,0.0,0.0,3.7543554306030273,1.0,0.5690001654695659,0.0,0.0,3.8041415214538574,0.6875
CollegeMsg_20040703.log,0.680711427205648,0.0,0.0,3.4801127910614014,0.9375,0.65742045203834,0.0,0.0,3.9843711853027344,0.375
CollegeMsg_20040704.log,0.7783928615203588,0.0,0.0,3.644409656524658,1.0,0.6757947748388204,0.0,0.0,3.9006996154785156,0.5625
CollegeMsg_20040705.log,0.6848820569705587,0.0,0.0,3.5409908294677734,1.0,0.6059643811438237,0.0,0.0,3.8696038722991943,0.5
CollegeMsg_20040706.log,0.6799255999803887,0.0,0.0,3.6332168579101562,1.0,0.6641820287794474,0.0,0.0,3.924125909805298,0.625
CollegeMsg_20040707.log,0.717161032530091,0.0,0.0,3.836430549621582,0.9375,0.6757610067903808,0.0,0.0,3.9409360885620117,0.5625
CollegeMsg_20040708.log,0.705940142916677,0.0,0.0,3.5796585083007812,0.8125,0.6750131149952198,0.0,0.0,3.8117566108703613,0.6875
CollegeMsg_20040709.log,0.7776212217782463,0.0,0.0,3.8333423137664795,0.9375,0.6672000404481161,0.0,0.0,4.028855323791504,0.5625
