name1,name2,discovery date,uniport1,uniport2,id1,id2,time
TNF,TNF,"datetime(1988, 1, 20, 0, 0)",P01375,P01375,116299,116299,1988
RUNX1,CBFB,"datetime(1988, 8, 20, 0, 0)",Q01196,Q13951,107201,102567,1988
HRAS,RASA1,"datetime(1988, 4, 22, 0, 0)",P01112,P20936,110859,108344,1988
CALM1; CALM2; CALM3,PHKB,"datetime(1988, 12, 1, 0, 0)",P62158,Q93100,102031,100362,1988
TPM3,TPM3,"datetime(1988, 6, 1, 0, 0)",P06753,P06753,105691,105691,1988
F8,VWF,"datetime(1988, 7, 25, 0, 0)",P00451,P04275,102446,103887,1988
VARS,EEF1D,"datetime(1988, 10, 10, 0, 0)",P26640,P29692,104210,104311,1988
CAMK2B,CAMK2B,"datetime(1988, 9, 1, 0, 0)",Q13554,Q13554,115085,115085,1988
CD247,CD247,"datetime(1988, 10, 28, 0, 0)",P20963,P20963,113203,113203,1988
C3,CFP,"datetime(1988, 5, 15, 0, 0)",P01024,P27918,102951,110667,1988
TNF,TNFRSF1A,"datetime(1988, 12, 15, 0, 0)",P01375,P19438,116299,113149,1988
EPB42,ANK2,"datetime(1988, 7, 25, 0, 0)",P16452,Q01484,112738,106564,1988
SPTA1,ANK1,"datetime(1988, 10, 5, 0, 0)",P02549,P16157,112468,102140,1988
EEF1A1,VARS,"datetime(1988, 10, 10, 0, 0)",P68104,P26640,107332,104210,1988
CNN1,ACTA1,"datetime(1988, 6, 1, 0, 0)",P51911,P68133,115349,111566,1988
CALM1; CALM2; CALM3,CNN1,"datetime(1988, 6, 1, 0, 0)",P62158,P51911,102031,115349,1988
TPM1,CNN1,"datetime(1988, 6, 1, 0, 0)",P09493,P51911,102236,115349,1988
VARS,EEF1G,"datetime(1988, 10, 10, 0, 0)",P26640,P26641,104210,104211,1988
EEF1B2,VARS,"datetime(1988, 10, 10, 0, 0)",P24534,P26640,108069,104210,1988
MAPT,S100B,"datetime(1988, 4, 25, 0, 0)",P10636,P04271,113557,103885,1988
SPACA3,A2M,"datetime(1988, 12, 30, 0, 0)",Q8IXA5,P01023,108188,108859,1988
TNNC1,CNN1,"datetime(1988, 6, 1, 0, 0)",P63316,P51911,111500,115349,1988
