name1,name2,discovery date,uniport1,uniport2,id1,id2,time
SMC3,SMC1A,"datetime(1998, 10, 27, 0, 0)",Q9UQE7,Q14683,101471,111195,1998
HCK,SKAP2,"datetime(1998, 11, 27, 0, 0)",P08631,O75563,114709,106554,1998
COPA,COPZ1,"datetime(1998, 9, 29, 0, 0)",P53621,P61923,114472,106028,1998
COL1A1,NID2,"datetime(1998, 9, 11, 0, 0)",P02452,Q14112,105417,106153,1998
CCNE1,CCT2,"datetime(1998, 12, 1, 0, 0)",P24864,P78371,115243,106704,1998
ISL1,ISL1,"datetime(1998, 2, 6, 0, 0)",P61371,P61371,109185,109185,1998
PTPN1,SRC,"datetime(1998, 5, 8, 0, 0)",P18031,P12931,109850,107525,1998
CTTN,FER,"datetime(1998, 9, 4, 0, 0)",Q14247,P16591,100506,104957,1998
AXIN1,DVL1,"datetime(1998, 3, 2, 0, 0)",O15169,O14640,113100,116353,1998
PPP1R3A,PLN,"datetime(1998, 11, 20, 0, 0)",Q16821,P26678,105910,116603,1998
PSIP1,SUB1,"datetime(1998, 12, 1, 0, 0)",O75475,P53999,111887,106700,1998
BMPR1B,SMAD6,"datetime(1998, 1, 15, 0, 0)",O00238,O43541,104897,103226,1998
CASK,C16ORF70,"datetime(1998, 11, 27, 0, 0)",O14936,Q9BSU1,100295,110156,1998
EIF3G,EIF3C,"datetime(1998, 11, 27, 0, 0)",O75821,Q99613,103160,105609,1998
MAD2L1,ANAPC2,"datetime(1998, 6, 15, 0, 0)",Q13257,Q9UJX6,116480,106197,1998
TMED2,SEC23A,"datetime(1998, 2, 23, 0, 0)",Q15363,Q15436,110372,101630,1998
CFTR,SLC9A3R1,"datetime(1998, 5, 1, 0, 0)",P13569,O14745,110936,108809,1998
TAF15,TAF13,"datetime(1998, 3, 1, 0, 0)",Q92804,Q15543,112042,103707,1998
FLT3LG,KITLG,"datetime(1998, 5, 1, 0, 0)",P49771,P21583,102184,111291,1998
FYN,PTPRA,"datetime(1998, 4, 10, 0, 0)",P06241,P18433,109836,100911,1998
EPB41L2,FKBP2,"datetime(1998, 4, 6, 0, 0)",O43491,P26885,115686,106308,1998
TROAP,TROAP,"datetime(1998, 4, 28, 0, 0)",Q12815,Q12815,112148,112148,1998
CALM1; CALM2; CALM3,STK38,"datetime(1998, 10, 15, 0, 0)",P62158,Q15208,102031,110652,1998
CASR,PRKCA,"datetime(1998, 8, 14, 0, 0)",P41180,P17252,111041,107106,1998
NR3C1,CEBPA,"datetime(1998, 11, 1, 0, 0)",P04150,P49715,109148,109638,1998
HSP90B1,APOB,"datetime(1998, 8, 14, 0, 0)",P14625,P04114,104999,109691,1998
CSNK2A2,FOS,"datetime(1998, 8, 15, 0, 0)",P19784,P01100,106059,106563,1998
E2F4,HDAC1,"datetime(1998, 9, 1, 0, 0)",Q16254,Q13547,110767,109208,1998
