name1,name2,discovery date,uniport1,uniport2,id1,id2
IFI16,KRR1,"datetime(2015, 2, 9, 0, 0)",Q16666,Q13601,102038,113901
ESR1,PLOD3,"datetime(2015, 6, 1, 0, 0)",P03372,O60568,102503,108230
IFI16,FTSJ3,"datetime(2015, 2, 9, 0, 0)",Q16666,Q8IY81,102038,100905
ITIH5,NOTCH2,"datetime(2015, 3, 27, 0, 0)",Q86UX2,Q04721,111411,106892
ANGPTL4,BRMS1,"datetime(2015, 3, 27, 0, 0)",Q9BY76,Q9HCU9,103670,100868
THRSP,PARP1,"datetime(2015, 3, 27, 0, 0)",Q92748,P09874,113122,113437
MAST3,C14ORF166,"datetime(2015, 4, 7, 0, 0)",O60307,Q9Y224,107245,111863
BLK,GNG12,"datetime(2015, 4, 7, 0, 0)",P51451,Q9UBI6,115130,107790
PALB2,ERRFI1,"datetime(2015, 3, 27, 0, 0)",Q86YC2,Q9UJM3,113168,102953
BUB1B,EEF2,"datetime(2015, 4, 7, 0, 0)",O60566,P13639,115999,104771
CBX5,MAP1LC3A,"datetime(2015, 1, 1, 0, 0)",P45973,Q9H492,113923,116455
YBX1,XRCC6,"datetime(2015, 2, 6, 0, 0)",P67809,P12956,106757,115541
ESR1,TUBAL3,"datetime(2015, 6, 1, 0, 0)",P03372,A6NHL2,102503,116163
CDKN2A,ANGPTL4,"datetime(2015, 3, 27, 0, 0)",P42771,Q9BY76,108570,103670
MNDA,XRN2,"datetime(2015, 2, 9, 0, 0)",P41218,Q9H0D6,100095,103285
DDX5,TNK1,"datetime(2015, 4, 7, 0, 0)",P17844,Q13470,106274,105784
MNDA,DDX31,"datetime(2015, 2, 9, 0, 0)",P41218,Q9H8H2,100095,112506
ESR2,CYCS,"datetime(2015, 6, 1, 0, 0)",Q92731,P99999,100229,113059
EZH2,JAK2,"datetime(2015, 1, 22, 0, 0)",Q15910,O60674,109421,103401
PAX2,BLID,"datetime(2015, 3, 27, 0, 0)",Q02962,Q8IZY5,111327,115505
MRC2,PPM1D,"datetime(2015, 3, 27, 0, 0)",Q9UBG0,O15297,109060,108980
SLC25A12,AATK,"datetime(2015, 4, 7, 0, 0)",O75746,Q6ZMQ8,114868,112373
PSMC3IP,CDH1,"datetime(2015, 3, 27, 0, 0)",Q9P2W1,P12830,113935,107212
MBD4,UHRF1,"datetime(2015, 3, 1, 0, 0)",O95243,Q96T88,113448,103553
MNDA,DDX52,"datetime(2015, 2, 9, 0, 0)",P41218,Q9Y2R4,100095,109354
ESR1,LRRFIP1,"datetime(2015, 6, 1, 0, 0)",P03372,Q32MZ4,102503,109713
PYHIN1,PML,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,P29590,100916,101263
RB1CC1,PSMC3IP,"datetime(2015, 3, 27, 0, 0)",Q8TDY2,Q9P2W1,108235,113935
ESR2,IL24,"datetime(2015, 3, 27, 0, 0)",Q92731,Q13007,100229,108551
STK11,EEF1A2,"datetime(2015, 3, 27, 0, 0)",Q15831,Q05639,102452,102778
THRSP,CDH1,"datetime(2015, 3, 27, 0, 0)",Q92748,P12830,113122,107212
BAG4,IL24,"datetime(2015, 3, 27, 0, 0)",O95429,Q13007,110877,108551
LSP1,LYPD3,"datetime(2015, 3, 27, 0, 0)",P33241,O95274,105228,114237
IL24,CASP8,"datetime(2015, 3, 27, 0, 0)",Q13007,Q14790,108551,100527
PYHIN1,RFX1,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,P22670,100916,103399
MNDA,C9ORF114,"datetime(2015, 2, 9, 0, 0)",P41218,Q5T280,100095,113968
STK11,TUBA1A,"datetime(2015, 3, 27, 0, 0)",Q15831,Q71U36,102452,104755
BAG4,NAT2,"datetime(2015, 3, 27, 0, 0)",O95429,P11245,110877,116160
CASP8,GREB1,"datetime(2015, 3, 27, 0, 0)",Q14790,Q4ZG55,100527,101092
RAPGEF2,LAP3,"datetime(2015, 1, 1, 0, 0)",Q9Y4G8,P28838,112514,108578
CDKN2C,SCGB2A2,"datetime(2015, 3, 27, 0, 0)",P42773,Q13296,108569,112019
SLC38A1,AUP1,"datetime(2015, 3, 26, 0, 0)",Q9H2H9,Q9Y679,112297,105247
IFI16,MAP1B,"datetime(2015, 2, 9, 0, 0)",Q16666,P46821,102038,101602
RB1CC1,WIF1,"datetime(2015, 3, 27, 0, 0)",Q8TDY2,Q9Y5W5,108235,111616
RAPGEF2,PTPN13,"datetime(2015, 1, 1, 0, 0)",Q9Y4G8,Q12923,112514,109508
PYHIN1,SDC2,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,P34741,100916,109138
IFI16,PEG10,"datetime(2015, 2, 9, 0, 0)",Q16666,Q86TG7,102038,108417
ESR2,LZTS3,"datetime(2015, 6, 1, 0, 0)",Q92731,O60299,100229,114312
APC,AGR3,"datetime(2015, 3, 27, 0, 0)",P25054,Q8TD06,115867,106589
ITIH5,PPM1D,"datetime(2015, 3, 27, 0, 0)",Q86UX2,O15297,111411,108980
PYHIN1,ATRX,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,P46100,100916,103617
CSNK2B,RAD51,"datetime(2015, 3, 27, 0, 0)",P67870,Q06609,113204,108507
PYHIN1,MGA,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,Q8IWI9,100916,102195
BUB1B,NDC80,"datetime(2015, 4, 7, 0, 0)",O60566,O14777,115999,113044
CCND1,BCAS3,"datetime(2015, 3, 27, 0, 0)",P24385,Q9H6U6,103741,104854
ESR2,PPP1CA,"datetime(2015, 6, 1, 0, 0)",Q92731,P62136,100229,109498
AIM2,SAFB,"datetime(2015, 2, 9, 0, 0)",O14862,Q15424,112084,105937
ESR2,USH2A,"datetime(2015, 6, 1, 0, 0)",Q92731,O75445,100229,116040
BRMS1,IL13RA2,"datetime(2015, 3, 27, 0, 0)",Q9HCU9,Q14627,100868,101987
ESR2,GAL3ST4,"datetime(2015, 6, 1, 0, 0)",Q92731,Q96RP7,100229,113009
FBXW11,CNOT1,"datetime(2015, 1, 1, 0, 0)",Q9UKB1,A5YKK6,111849,102149
SERPINB5,STK11,"datetime(2015, 3, 27, 0, 0)",P36952,Q15831,110022,102452
IKBKE,TCP1,"datetime(2015, 4, 7, 0, 0)",Q14164,P17987,101861,115942
ESR2,FLNA,"datetime(2015, 6, 1, 0, 0)",Q92731,P21333,100229,114806
MAST3,DDX5,"datetime(2015, 4, 7, 0, 0)",O60307,P17844,107245,106274
ESR2,MRPL38,"datetime(2015, 6, 1, 0, 0)",Q92731,Q96DV4,100229,107899
CSNK2B,MAST3,"datetime(2015, 4, 7, 0, 0)",P67870,O60307,113204,107245
PYHIN1,TBP,"datetime(2015, 2, 9, 0, 0)",Q6K0P9,P20226,100916,107088
AKT1,GFAP,"datetime(2015, 3, 27, 0, 0)",P31749,P14136,112440,102879
YBX1,,"datetime(2015, 2, 6, 0, 0)",P67809,A8K651,106757,101329
ARAF,KIF1BP,"datetime(2015, 4, 7, 0, 0)",P10398,Q96EK5,105149,115116
AAK1,AP2A1,"datetime(2015, 4, 7, 0, 0)",Q2M2I8,O95782,107372,106046
SLC38A1,XPOT,"datetime(2015, 3, 26, 0, 0)",Q9H2H9,O43592,112297,100673
ARAF,ACTA2,"datetime(2015, 4, 7, 0, 0)",P10398,P62736,105149,102440
MNDA,FTSJ3,"datetime(2015, 2, 9, 0, 0)",P41218,Q8IY81,100095,100905
PTPN1,BCAS3,"datetime(2015, 3, 27, 0, 0)",P18031,Q9H6U6,109850,104854
