name1,name2,discovery date,uniport1,uniport2,id1,id2,time
SFRP2,DCC,"datetime(2014, 3, 21, 0, 0)",Q96HF1,P43146,105029,106261,2014
DSTN,CFL2,"datetime(2014, 11, 20, 0, 0)",P60981,Q549N0,114357,114592,2014
AGGF1,UBC,"datetime(2014, 6, 6, 0, 0)",Q8N302,P0CG48,108876,106138,2014
BAG3,ARRDC3,"datetime(2014, 11, 20, 0, 0)",O95817,Q96B67,115499,110629,2014
RFC5,NAB2,"datetime(2014, 11, 20, 0, 0)",P40937,Q15742,102325,108766,2014
KIAA1958,KIAA1958,"datetime(2014, 11, 20, 0, 0)",Q8N8K9,Q8N8K9,102200,102200,2014
RPA2,PPP2CA,"datetime(2014, 1, 23, 0, 0)",P15927,P67775,101410,113865,2014
FAM124B,KRT19,"datetime(2014, 11, 20, 0, 0)",Q9H5Z6,P08727,109587,107412,2014
SUMO3,XRCC5,"datetime(2014, 8, 1, 0, 0)",P55854,P13010,109663,106516,2014
TGFB1,EGFR,"datetime(2014, 3, 21, 0, 0)",P01137,P00533,102253,112630,2014
CTTN,OBSL1,"datetime(2014, 6, 1, 0, 0)",Q14247,O75147,100506,108161,2014
SUMO1,PGD,"datetime(2014, 5, 2, 0, 0)",P63165,P52209,101887,115609,2014
TXLNB,NMI,"datetime(2014, 11, 20, 0, 0)",Q8N3L3,Q13287,105898,105877,2014
,,"datetime(2014, 7, 17, 0, 0)",Q9HAV2,Q53FC7,100993,103499,2014
MAP2K2,EGFR,"datetime(2014, 7, 1, 0, 0)",P36507,P00533,109307,112630,2014
KIT,FES,"datetime(2014, 7, 1, 0, 0)",P10721,P07332,115140,109049,2014
ODC1,GORASP2,"datetime(2014, 11, 20, 0, 0)",P11926,Q9H8Y8,114216,102556,2014
TEX11,REXO1L1P,"datetime(2014, 11, 20, 0, 0)",Q8IYF3,Q8IX06,108265,110841,2014
SMCP,RGS17,"datetime(2014, 11, 20, 0, 0)",P49901,Q9UGC6,101522,108580,2014
KRTAP10-3,TYMSOS,"datetime(2014, 11, 20, 0, 0)",P60369,Q8TAI1,111004,112015,2014
SYT16,NCOA5,"datetime(2014, 11, 20, 0, 0)",Q17RD7,Q9HCD5,100876,102798,2014
NFIX,UBC,"datetime(2014, 5, 2, 0, 0)",Q14938,P0CG48,110903,106138,2014
SNAI1,RING1,"datetime(2014, 8, 15, 0, 0)",O95863,Q06587,107734,114539,2014
KRT31,SMARCE1,"datetime(2014, 11, 20, 0, 0)",Q15323,Q969G3,110974,107840,2014
KPNB1,CUL7,"datetime(2014, 6, 1, 0, 0)",Q14974,Q14999,110318,107170,2014
ZNF180,SUMO3,"datetime(2014, 11, 13, 0, 0)",Q9UJW8,P55854,104738,109663,2014
CDC37,TESK2,"datetime(2014, 7, 17, 0, 0)",Q16543,Q96S53,103951,105103,2014
RPA1,MPRIP,"datetime(2014, 1, 23, 0, 0)",P27694,Q6WCQ1,104322,114552,2014
SPATA3,KRTAP10-7,"datetime(2014, 11, 20, 0, 0)",Q8NHX4,P60409,100013,113633,2014
MTUS2,ZNF224,"datetime(2014, 11, 20, 0, 0)",Q5JR59,Q9NZL3,105142,112448,2014
CCHCR1,ABI2,"datetime(2014, 11, 20, 0, 0)",Q8TD31,Q9NYB9,110888,114161,2014
RAF1,BAG2,"datetime(2014, 7, 17, 0, 0)",P04049,O95816,103651,115498,2014
LIN28B,ELAVL2,"datetime(2014, 5, 13, 0, 0)",Q6ZN17,Q12926,105515,109510,2014
CCDC8,CAPZA2,"datetime(2014, 6, 1, 0, 0)",Q9H0W5,P47755,107815,110708,2014
LGR4,MYH10,"datetime(2014, 4, 1, 0, 0)",Q9BXB1,P35580,108550,108245,2014
PSMA3,CCL28,"datetime(2014, 11, 20, 0, 0)",P25788,Q9NRJ3,100544,108128,2014
ASUN,NEDD8,"datetime(2014, 5, 2, 0, 0)",Q9NVM9,Q15843,112584,115957,2014
FAM171A2,PSMA3,"datetime(2014, 11, 20, 0, 0)",Q8N0U1,P25788,107848,100544,2014
ILF3,RBPMS,"datetime(2014, 11, 20, 0, 0)",Q9NXX0,Q93062,106835,101931,2014
MED25,MED24,"datetime(2014, 6, 5, 0, 0)",Q71SY5,O75448,111316,108248,2014
SLIT2,CCDC8,"datetime(2014, 6, 1, 0, 0)",O94813,Q9H0W5,114887,107815,2014
CEP44,MGC24125,"datetime(2014, 11, 20, 0, 0)",Q9C0F1,Q8NEQ2,106844,100416,2014
GORASP2,SCAND1,"datetime(2014, 11, 20, 0, 0)",Q9H8Y8,P57086,102556,100649,2014
PNMA1,TSPYL4,"datetime(2014, 11, 20, 0, 0)",Q8ND90,Q9UJ04,112725,111703,2014
LRRK2,DDB1,"datetime(2014, 4, 10, 0, 0)",Q5S007,Q16531,103695,108297,2014
GORASP2,ENOX1,"datetime(2014, 11, 20, 0, 0)",Q9H8Y8,Q8TC92,102556,105767,2014
ZNF230,CCDC136,"datetime(2014, 11, 20, 0, 0)",Q9UIE0,Q96JN2,104926,108283,2014
SP4,NRF1,"datetime(2014, 11, 20, 0, 0)",Q02446,Q16656,108887,114934,2014
CDK5R1,NOTCH2NL,"datetime(2014, 11, 20, 0, 0)",Q15078,Q7Z3S9,113656,103151,2014
MAOA,,"datetime(2014, 7, 17, 0, 0)",Q5ULA9,A8K1F4,114410,105324,2014
MAL2,RAB37,"datetime(2014, 11, 20, 0, 0)",Q969L2,Q96AX2,105267,103737,2014
NOTCH2NL,KRTAP10-11,"datetime(2014, 11, 20, 0, 0)",Q7Z3S9,P60412,103151,110418,2014
FZR1,RBBP8,"datetime(2014, 12, 1, 0, 0)",Q9UM11,Q99708,109668,116309,2014
CCDC8,EIF2S1,"datetime(2014, 6, 1, 0, 0)",Q9H0W5,P05198,107815,105854,2014
EIF3H,ABI3,"datetime(2014, 11, 20, 0, 0)",Q6IB98,Q9P2A4,104143,102414,2014
PDE9A,ZFAB,"datetime(2014, 11, 20, 0, 0)",O76083,Q9Y260,100629,111280,2014
ODC1,MAP2K1,"datetime(2014, 3, 21, 0, 0)",P11926,Q02750,114216,103218,2014
PPFIA1,DROSHA,"datetime(2014, 5, 13, 0, 0)",Q13136,Q9NRR4,110569,109251,2014
AGPAT5,UBQLN1,"datetime(2014, 11, 20, 0, 0)",Q9NUQ2,Q9UMX0,113177,109087,2014
MANEA,UBC,"datetime(2014, 6, 6, 0, 0)",Q5SRI9,P0CG48,115307,106138,2014
HIG-1,MLF1,"datetime(2014, 7, 17, 0, 0)",Q86WA0,P58340,104103,103491,2014
FTH1,HSPB1,"datetime(2014, 12, 1, 0, 0)",P02794,P04792,104949,107064,2014
AEN,AAMP,"datetime(2014, 11, 20, 0, 0)",Q8WTP8,Q13685,108732,114972,2014
AARSD1,BAG2,"datetime(2014, 7, 17, 0, 0)",Q9BTE6,O95816,115046,115498,2014
OBSL1,NOC4L,"datetime(2014, 6, 1, 0, 0)",O75147,Q9BVI4,108161,102831,2014
C11ORF65,CALM3,"datetime(2014, 11, 20, 0, 0)",Q8NCR3,Q96HY3,103662,115569,2014
