filename,dataset,time,nodes,edges,epochs,hyp,dim,euc,edim,sph,sdim,MAP,avg_distortion,wc,me,mc,best_loss,distortion,map,wc_dist,final_loss
dataset_data-PPI-cleaned-remapped-interactions_with_dates_2015_nodes_1104_edges_1952_component_0.edges-riemann_--batch-size-epochs_100-subsample_16-hyp_3-dim_3-euc_1-edim_3-sph_2-sdim_3_log.txt,PPI,2015,1104,1952,100,3,3,1,3,2,3,0.254130733919185,0.13812538920945902,47.744580998029704,2.42144582261469,19.717385601662915,0.027381329031423457,0.11634598217315385,0.5200830567548013,4.672376806313161,0.027381329031423457
dataset_data-PPI-cleaned-remapped-interactions_with_dates_2015_nodes_1104_edges_1952_component_0.edges-riemann_--batch-size-epochs_100-subsample_16-hyp_2-dim_3-euc_1-edim_9-sph_1-sdim_3_log.txt,PPI,2015,1104,1952,100,2,3,1,9,1,3,0.22996126045410933,0.13587968683674928,50.69508925391693,2.3129096497266435,21.91831801986232,0.026805503282730382,0.11487917819403118,0.4851994239584398,4.293299806308005,0.026805503282730382
dataset_data-PPI-cleaned-remapped-interactions_with_dates_2015_nodes_1104_edges_1952_component_0.edges-riemann_--batch-size-epochs_100-subsample_16-hyp_1-dim_18-euc_0-edim_0-sph_0-sdim_0_log.txt,PPI,2015,1104,1952,100,1,18,0,0,0,0,0.7476822816893055,0.24230317574637225,45.51960107799775,2.6635373786398113,17.08990511754832,0.08224883503075618,0.22283269546913756,0.7376911237834859,6.286615123633418,0.08224883503075618
dataset_data-PPI-cleaned-remapped-interactions_with_dates_2015_nodes_1104_edges_1952_component_0.edges-riemann_--batch-size-epochs_100-subsample_16-hyp_0-dim_0-euc_1-edim_18-sph_0-sdim_0_log.txt,PPI,2015,1104,1952,100,0,0,1,18,0,0,0.22217215193520284,0.13569697163017236,42.01811956797412,2.3633872064174217,17.77877084799319,0.026143426008499497,0.11579391532227193,0.4554592278470815,4.756358453648383,0.026143426008499497
dataset_data-PPI-cleaned-remapped-interactions_with_dates_2015_nodes_1104_edges_1952_component_0.edges-riemann_--batch-size-epochs_100-subsample_16-hyp_0-dim_0-euc_0-edim_0-sph_1-sdim_18_log.txt,PPI,2015,1104,1952,100,0,0,0,0,1,18,0.05187348201727556,0.6117934216222148,20.2450882751062,1.468619551825496,13.785114225084044,0.268208440911469,0.45741786498673,0.06436945412310201,8.068250479291365,0.268208440911469
dataset_data-PPI-cleaned-remapped-interactions_with_dates_2014_nodes_7832_edges_26081_component_0.edges-riemann_--batch-size-epochs_100-subsample_16-hyp_3-dim_3-euc_1-edim_3-sph_2-sdim_3_log.txt,PPI,2014,7832,26081,100,3,3,1,3,2,3,0.25882560198643073,0.218738530466718,175.017287523037,2.528587070171403,69.21544825868831,0.05618933598855869,0.1795523006882825,0.359039394666733,5.162510362198713,0.05618933598855869
dataset_data-PPI-cleaned-remapped-interactions_with_dates_2014_nodes_7832_edges_26081_component_0.edges-riemann_--batch-size-epochs_100-subsample_16-hyp_2-dim_3-euc_1-edim_9-sph_1-sdim_3_log.txt,PPI,2014,7832,26081,100,2,3,1,9,1,3,0.2587649664080908,0.2155638192104794,205.11016111481155,2.635352062135833,77.83026945879067,0.05494222191731233,0.17759115833322828,0.33829168142319715,4.801372722729487,0.05494222191731233
dataset_data-PPI-cleaned-remapped-interactions_with_dates_2014_nodes_7832_edges_26081_component_0.edges-riemann_--batch-size-epochs_100-subsample_16-hyp_1-dim_18-euc_0-edim_0-sph_0-sdim_0_log.txt,PPI,2014,7832,26081,100,1,18,0,0,0,0,0.4017787799944257,0.2774625161442693,806.5045407769235,2.6495100541419623,304.3976147650846,0.08739695315006706,0.23576535364520657,0.4156153011831394,6.190245802144069,0.08739695315006706
dataset_data-PPI-cleaned-remapped-interactions_with_dates_2014_nodes_7832_edges_26081_component_0.edges-riemann_--batch-size-epochs_100-subsample_16-hyp_0-dim_0-euc_1-edim_18-sph_0-sdim_0_log.txt,PPI,2014,7832,26081,100,0,0,1,18,0,0,0.25485792428586235,0.21541905565788408,508.77195795406715,2.4678005276608035,206.16413370991762,0.05428409232036567,0.17988623831228076,0.32908869247087824,5.319002993136115,0.05428409232036567
dataset_data-PPI-cleaned-remapped-interactions_with_dates_2014_nodes_7832_edges_26081_component_0.edges-riemann_--batch-size-epochs_100-subsample_16-hyp_0-dim_0-euc_0-edim_0-sph_1-sdim_18_log.txt,PPI,2014,7832,26081,100,0,0,0,0,1,18,0.014014556121645694,0.5890655147313301,59.5738071706326,1.7196681157004619,34.64261890229137,0.21294944802844035,0.39139184556113277,0.017148247543768043,7.468596753598235,0.21294944802844035
